Title,Comment,Final Sentiment,Final Polarization
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ganun din yan, magtayo lang ng sari-sari store sa bahay gamit ang bintana tas chichirya ang tinda. kinabukasan la na. tigilan nyo na kasi ayu-ayuda na yan.","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","bgas bgay nyo","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","naku hindi matutuwa c mr. r..mawawalan n xa ng pang blackmail sa mga kongresista na di sumang ayon sa mga gusto nia.. 150m b nmn db?","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","nagiging tamad yang mga yaan, para wala na din silang pangssugal , at panginom","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","tulfo brand puro salita","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","you had me at scrap, lost me at provide.","negative","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ok sana nga","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","matututo silang magbanat ng buto, hindi maging tamad. umaasa lang sa tatanggapin","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","kahit maliit lang malaki na yan maitulong","positive","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","give a man a fish.","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","tama dapat trabaho ibigay, yung iba sinasanla, pinangsusugal.. at marami din nakikinabang na dswd staff na binibigyan nila kahit hindi qualified...","positive","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","dali push mo yan. bilib na ako sayo","positive","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","lalo lang dumami ang tamad dahil sa 4ps.","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","yup... bigynan trabaho wag gawing tamad","positive","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","matatalo din yan sa sugal at pangbayad sa utang..gugutomin ulit.","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","i agree sen.erwin..let them work hwag ung totally dependent sa goberno...","positive","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","sana sinabe nyo yan nung nangangampanya ka.","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","paghawak ng capital after one week ubos na....nganga ulit at sahod kamay","negative","objective"
