Title,Comment
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ganun din yan, magtayo lang ng sari-sari store sa bahay gamit ang bintana tas chichirya ang tinda. kinabukasan la na. tigilan nyo na kasi ayu-ayuda na yan."
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead",bgas bgay nyo
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead",naku hindi matutuwa c mr. r..mawawalan n xa ng pang blackmail sa mga kongresista na di sumang ayon sa mga gusto nia.. 150m b nmn db?
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","nagiging tamad yang mga yaan, para wala na din silang pangssugal , at panginom"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead",tulfo brand puro salita
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","you had me at scrap, lost me at provide."
senate president pro tempore jinggoy estrada said 19 to 20 senators believe they should abide by the supreme court’s ruling against the senate proceeding with the impeachment trial of vice president sara duterte,kaya nga iyan na ang pinakabulok sa history ng senado!
senate president pro tempore jinggoy estrada said 19 to 20 senators believe they should abide by the supreme court’s ruling against the senate proceeding with the impeachment trial of vice president sara duterte,alam na chiz ang ginawa mo!!!!!
senate president pro tempore jinggoy estrada said 19 to 20 senators believe they should abide by the supreme court’s ruling against the senate proceeding with the impeachment trial of vice president sara duterte,"these senators are coward. sc & senate are co-equal. with due respect to sc their decision not applicable to sara’s impeachment case, should be in the future. if the senate kills the case, the public accountability will be suffer. sc decision changed the rules of impeachment, they called judiciary legislations but unconstitutional. changing the rules & amendments in impeachment vested in legislative should enacted a law for changes. i don’t agree to sc decision & senate to kill the impeachment."
senate president pro tempore jinggoy estrada said 19 to 20 senators believe they should abide by the supreme court’s ruling against the senate proceeding with the impeachment trial of vice president sara duterte,naghanap pa kayo ng kakampi. akala ko co-equal branch of government kayo
senate president pro tempore jinggoy estrada said 19 to 20 senators believe they should abide by the supreme court’s ruling against the senate proceeding with the impeachment trial of vice president sara duterte,payback time n sempre! kakosa nya???
senate president pro tempore jinggoy estrada said 19 to 20 senators believe they should abide by the supreme court’s ruling against the senate proceeding with the impeachment trial of vice president sara duterte,"sindicato sa senado, paano mabubuwag??? palitan sila??? tagal pa ng 2028."
senate president pro tempore jinggoy estrada said 19 to 20 senators believe they should abide by the supreme court’s ruling against the senate proceeding with the impeachment trial of vice president sara duterte,kapwa magnanakaw help each other!!!
senate president pro tempore jinggoy estrada said 19 to 20 senators believe they should abide by the supreme court’s ruling against the senate proceeding with the impeachment trial of vice president sara duterte,utang na loob ba..pinalaya ni duterte si jinggoy .:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
senate president pro tempore jinggoy estrada said 19 to 20 senators believe they should abide by the supreme court’s ruling against the senate proceeding with the impeachment trial of vice president sara duterte,protektor ng mga mandurugas..sambayanan ang protektahan di ang mga duterte!
senate president pro tempore jinggoy estrada said 19 to 20 senators believe they should abide by the supreme court’s ruling against the senate proceeding with the impeachment trial of vice president sara duterte,abide the supreme court???
"after more than five months of being detained in the hague, former president rodrigo duterte is feeling his age getting to him, according to his daughter veronica “kitty” duterte.",natural lang ang tumanda.
"after more than five months of being detained in the hague, former president rodrigo duterte is feeling his age getting to him, according to his daughter veronica “kitty” duterte.",yaka yaka nya lusutan yan e mas magaling pa daw taong yan sa dyus stupid daw dyus e sya daw matalino
"after more than five months of being detained in the hague, former president rodrigo duterte is feeling his age getting to him, according to his daughter veronica “kitty” duterte.","pamilya talaga ng malakas mag-hamon, pag pinatulan either aatras o iiyak."
"after more than five months of being detained in the hague, former president rodrigo duterte is feeling his age getting to him, according to his daughter veronica “kitty” duterte.",duterte wag kang mag madaling umakyat sa impierno. antayin mo muna sila bato at bong go. on the way na sila ipaghanda mo ng tuyo at daing. grand reunion.
"after more than five months of being detained in the hague, former president rodrigo duterte is feeling his age getting to him, according to his daughter veronica “kitty” duterte.",ano kaya pa? kala ko let icc get me
"after more than five months of being detained in the hague, former president rodrigo duterte is feeling his age getting to him, according to his daughter veronica “kitty” duterte.",intay ko pa rin na pagsisipain nya mga taga icc.
"after more than five months of being detained in the hague, former president rodrigo duterte is feeling his age getting to him, according to his daughter veronica “kitty” duterte.",kung may kasalanan pagdusahan
"after more than five months of being detained in the hague, former president rodrigo duterte is feeling his age getting to him, according to his daughter veronica “kitty” duterte.",kailan daw petsa sya mamamatay? katagal naman....d ko kayang makita ganyan ang kalagayan nya...pasensya na po mababaw lang talaga luha ko..
"breaking news: two us navy warships are deployed off panatag (scarborough) shoal days after the collision of chinese ships there, the philippine coast guard confirms. uss higgins (ddg-76) and uss cincinnati (lcs-20) are monitored at a distance of 30 nautical miles away from panatag shoal, according commodore jay tarriela, pcg spokesperson for the west philippine sea. | via john eric mendoza, inquirer.net",fonops lng yan ng mga kano sa wps bff nila ang ccp china..
"breaking news: two us navy warships are deployed off panatag (scarborough) shoal days after the collision of chinese ships there, the philippine coast guard confirms. uss higgins (ddg-76) and uss cincinnati (lcs-20) are monitored at a distance of 30 nautical miles away from panatag shoal, according commodore jay tarriela, pcg spokesperson for the west philippine sea. | via john eric mendoza, inquirer.net",pagnandyan ang ccg wala ang usnavy
